,#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,Team ID,Opponent ID,Game ID
9,,DePaul,,200:00,1,26,58,7,21,9,12,68,9,30,39,20,15,7,3,12,0,0,560710,561225,3974211
10,,Green Bay,,200:00,1,26,65,5,26,7,9,64,10,24,34,12,10,7,2,14,0,0,561225,560710,3974211
11,,Green Bay,,200:00,1,24,54,2,18,14,15,64,3,21,24,12,8,9,2,12,0,0,561225,560807,3975157
12,,UIC,,200:00,1,22,59,5,20,7,9,56,14,27,41,12,22,4,1,18,0,0,560807,561225,3975157
12,,Green Bay,,200:00,1,30,55,9,24,18,20,87,10,23,33,23,15,9,1,16,0,0,561225,561062,3975465
13,,Saint Louis,,200:00,1,19,53,5,17,11,18,54,11,14,25,11,18,6,1,20,0,0,561062,561225,3975465
10,,Green Bay,,200:00,1,30,55,9,18,16,18,85,8,28,36,27,11,2,2,13,0,0,561225,560681,3976273
13,,Cleveland St.,,200:00,1,26,61,9,21,11,16,72,10,17,27,16,8,5,0,19,0,0,560681,561225,3976273
12,,Green Bay,,200:00,1,30,58,6,22,6,7,72,7,30,37,21,12,11,0,9,0,0,561225,560812,3976564
13,,Purdue Fort Wayne,,200:00,1,17,49,10,28,2,4,46,4,18,22,12,19,8,0,11,0,0,560812,561225,3976564
12,,Northern Ky.,,200:00,1,20,52,11,26,5,7,56,6,25,31,14,20,5,1,12,0,0,560984,561225,3977029
12,,Green Bay,,200:00,1,36,61,11,22,3,7,86,3,27,30,22,9,13,2,6,0,0,561225,560984,3977029
12,,Green Bay,,200:00,1,26,56,5,17,15,21,72,8,29,37,22,14,10,2,11,0,0,561225,561046,3978122
